Time(s),FPS
0.50,0.32
1.00,0.37
1.50,25.83
2.00,148.79
2.50,93.45
3.00,85.92
3.50,107.32
4.00,118.62
4.50,115.24
5.00,110.59
5.50,132.53
6.00,130.21
6.50,133.29
7.00,125.91
7.50,125.33
8.00,135.07
8.50,137.65
9.00,138.89
9.50,125.20
10.00,131.73
10.50,131.17
11.00,128.75
11.50,123.27
12.00,127.66
12.50,134.81
13.00,131.68
13.50,135.54
14.00,133.75
14.50,133.96
15.00,132.53
15.50,135.28
16.00,127.58
16.50,136.80
17.00,135.66
17.50,137.77
18.00,137.59
18.50,136.69
19.00,135.40
19.50,137.74
20.00,129.85
20.50,129.32
21.00,137.64
21.50,133.55
22.00,130.56
22.50,132.62
23.00,132.97
23.50,133.01
24.00,126.58
24.50,133.50
25.00,121.48
25.50,134.44
26.00,134.28
26.50,134.95
27.00,125.37
27.50,133.53
28.00,133.37
28.50,134.73
29.00,132.82
29.50,125.74
30.00,121.51
30.50,129.71
31.00,129.00
31.50,130.69
32.00,131.24
32.50,125.32
33.00,123.13
33.50,126.49
34.00,115.71
34.50,121.45
35.00,121.82
35.50,122.87
36.00,126.69
36.50,124.26
37.00,121.89
37.50,125.95
38.00,124.49
38.50,123.63
39.00,103.50
39.50,122.55
40.00,123.58
40.50,124.91
41.00,131.20
41.50,133.60
42.00,134.45
42.50,134.00
43.00,136.82
43.50,127.74
44.00,137.67
44.50,130.86
45.00,137.54
45.50,133.11
46.00,135.30
46.50,136.21
47.00,133.88
47.50,135.78
48.00,131.03
48.50,135.50
49.00,132.86
49.50,133.61
50.00,135.89
50.50,133.26
51.00,137.71
51.50,137.77
52.00,126.93
52.50,133.40
53.00,136.76
53.50,121.50
54.00,136.97
54.50,135.43
55.00,131.69
55.50,129.89
56.00,132.73
56.50,122.85
57.00,131.76
57.50,135.56
58.00,132.76
58.50,135.15
59.00,135.89
59.50,135.75
60.00,135.17
60.50,136.64
61.00,121.38
61.50,135.60
62.00,134.55
62.50,133.49
63.00,136.27
63.50,139.35
64.00,137.66
64.50,134.86
65.00,137.25
65.50,123.94
66.00,136.67
66.50,135.50
67.00,133.88
67.50,137.60
68.00,137.10
68.50,133.38
69.00,130.92
69.50,134.46
70.00,121.11
70.50,138.60
71.00,129.77
71.50,132.18
72.00,133.13
72.50,129.03
73.00,130.41
73.50,134.75
74.00,134.77
74.50,91.32
75.00,85.09
75.50,135.13
76.00,133.48
76.50,130.88
77.00,134.71
77.50,131.50
78.00,133.50
78.50,133.96
79.00,134.89
79.50,126.91
80.00,132.39
80.50,136.51
81.00,135.94
81.50,128.22
82.00,135.57
82.50,136.79
83.00,137.32
83.50,135.17
84.00,128.62
84.50,123.17
85.00,119.85
85.50,119.09
86.00,120.63
86.50,108.27
87.00,120.80
87.50,119.17
88.00,122.77
88.50,121.36
89.00,109.30
89.50,115.10
90.00,115.57
90.50,118.64
91.00,121.55
91.50,110.86
92.00,121.30
92.50,122.74
93.00,121.97
93.50,119.02
94.00,115.43
94.50,119.25
95.00,109.56
95.50,121.35
96.00,122.62
96.50,109.60
97.00,122.71
97.50,121.94
98.00,121.18
98.50,120.99
99.00,111.42
99.50,120.45
100.00,118.88
100.50,121.08
101.00,121.15
101.50,113.43
102.00,120.46
102.50,117.98
103.00,121.24
103.50,121.00
104.00,112.98
104.50,123.35
105.00,133.36
105.50,131.16
106.00,119.21
106.50,121.35
107.00,110.99
107.50,121.87
108.00,125.01
108.50,134.41
109.00,134.97
109.50,133.66
110.00,132.83
110.50,121.76
111.00,128.78
111.50,119.26
112.00,131.57
112.50,133.30
113.00,122.81
113.50,129.76
114.00,131.29
114.50,129.51
115.00,122.92
115.50,129.99
116.00,129.40
116.50,131.42
117.00,127.52
117.50,129.72
118.00,134.49
118.50,132.76
119.00,131.70
119.50,127.94
120.00,129.69
120.50,130.22
121.00,135.30
121.50,136.75
122.00,125.78
122.50,119.24
123.00,131.23
123.50,132.90
124.00,122.14
124.50,126.44
125.00,124.48
125.50,125.38
126.00,127.64
126.50,124.55
127.00,125.29
127.50,123.01
128.00,124.60
128.50,119.12
129.00,111.07
129.50,126.62
130.00,125.26
130.50,123.53
131.00,122.56
131.50,125.94
132.00,125.15
132.50,121.82
133.00,124.38
133.50,117.13
134.00,123.07
134.50,123.98
135.00,127.44
135.50,127.01
136.00,127.11
136.50,127.99
137.00,124.96
137.50,125.61
138.00,128.38
138.50,115.46
139.00,125.97
139.50,123.55
140.00,122.85
140.50,127.92
141.00,125.39
141.50,121.85
142.00,125.14
142.50,123.64
143.00,114.96
143.50,125.59
144.00,123.45
144.50,95.62
145.00,123.82
