subject_id,__dataset__,bicep,pred_bicep,err_bicep,forearm,pred_forearm,err_forearm,thigh,pred_thigh,err_thigh,calf,pred_calf,err_calf,mean_err
07P1Yi2alvpi0MtJTu7-TmoT5E3x2dABQKiuu_jcnLU,testB,29.7449,29.5055,0.8048,25.6874,25.7709,0.3249,52.378,52.5776,0.3809,37.6972,36.3792,3.4962,1.2517
0AQqSm49JJoFaYTzjDcmRHM4gdwcYZyOqXBZ_yvNy0E,testB,28.6113,28.8984,1.0034,24.8599,25.2406,1.5312,48.387,51.4956,6.4246,33.7243,35.6306,5.6529,3.653
0PghUpgAgKJiVgHZpWydh6WqIYKYTlzV-5QR7eSR318,testB,25.5886,24.5328,4.1263,21.9818,21.4275,2.5216,46.06,43.7163,5.0884,32.9835,30.248,8.2935,5.0074
0QW7SNzqmRooRGXql2nRJG5HmfgDtvxaxDcovjh9DRQ,testB,27.6916,25.9437,6.3122,23.5635,22.6599,3.8349,52.0549,46.2305,11.1889,36.3971,31.9876,12.115,8.3628
0RRTDLueddykSM_-MbQYeCfx43VR1uf19kN8n6L7sJA,testB,33.3012,33.9267,1.8783,25.2535,29.6324,17.3401,57.079,60.4559,5.9163,35.5784,41.8304,17.5725,10.6768
0jBQ2v3WgYwJnB4fk9KcmKxsqjfc7FJjqbhodVZ5B3s,testB,31.2328,30.3177,2.9298,28.4231,26.4802,6.8355,53.5481,54.0248,0.8902,38.9367,37.3806,3.9965,3.663
0ix2B0qPwwgPAyBJM88yn6Wkhl6oLxhlUGOkN8jpt9c,testB,28.804,25.1356,12.7359,23.0228,21.9541,4.642,52.8418,44.7905,15.2366,34.1993,30.9913,9.3804,10.4987
1AJevVtpMGE2aHjT-G-uV1tCgLvUtogrEeOXGtYr6lU,testB,21.3339,22.5214,5.5664,21.4801,19.6708,8.4232,44.7457,40.1322,10.3104,32.8354,27.7681,15.4323,9.9331
0TB8jga-bvUKDzamFAMxKP2Wi5FZbz4CjoDbaJR5rL0,testB,29.6557,27.1707,8.3795,25.6143,23.7316,7.3505,54.6513,48.4169,11.4076,39.7181,33.5005,15.6545,10.698
17dftzvsFs0G2o7C68pLFPFXDCFUoq3Ly0JItV_LAxE,testB,26.1429,23.7782,9.045,23.9036,20.7685,13.1155,47.8154,42.3717,11.3847,33.498,29.3177,12.4794,11.5062
0rCweWiJLOAeo9TMaNn_fG4sQ8h3xjSjBXIVPVrE9pQ,testB,34.0269,35.0102,2.8897,29.0455,30.5788,5.2791,61.3579,62.3866,1.6766,42.0152,43.1663,2.7397,3.1463
2FXVWCFPSgSqnTSjOif2Z8s7GaRfe0GaD9eJfktnGkU,testB,37.4792,34.8493,7.0169,28.7968,30.4383,5.7001,59.0547,62.0999,5.1566,40.5375,42.9679,5.9955,5.9673
145HjgF9pF3ZfZSv6aYi961ID9ri0SjP24h6z_Vs7n8,testB,31.3385,30.9389,1.2751,27.8764,27.0228,3.0622,56.9938,55.1317,3.2673,37.245,38.1465,2.4203,2.5062
26gnWpM3ws3ugDnBWRUn014NPtZIw28y1W6lZHSpRk4,testB,27.4546,24.9307,9.1931,23.8046,21.7751,8.5259,51.5952,44.4253,13.8964,37.9882,30.7386,19.0839,12.6748
1THGPmtU9KHCGD7ez1tG3OzJ8mhohHH54gB7AHMtZWE,testB,29.6152,29.4263,0.6378,25.8237,25.7017,0.4724,52.4319,52.4364,0.0086,38.2895,36.2816,5.244,1.5907
1olHWQm2nBceX-FNvbqpXRfDzNHDnPEmqE1ll7iMCIo,testB,29.7484,31.267,5.1047,27.6797,27.3094,1.338,54.8544,55.7164,1.5715,38.6723,38.5511,0.3135,2.0819
3ArIaaPCyGhdCpgQtqN3VSJfdOglct9hjUX6aoq3xrM,testB,30.193,33.7302,11.7156,28.1434,29.4608,4.6811,55.9393,60.1058,7.4482,37.8799,41.5881,9.7895,8.4086
2_BeBSniuQH0bL7o-bh2BqWPFbUcf0t8XI4dxewSUbc,testB,33.2732,33.1878,0.2568,30.0616,28.987,3.5746,63.5238,59.1391,6.9024,43.6144,40.9193,6.1793,4.2283
2gXmeTyx3QNggAJ-oY6U8yrt5NDp8J7zfYQb-xSB434,testB,30.1207,28.4287,5.6176,26.6407,24.8303,6.7955,52.1792,50.6586,2.9141,39.5038,35.0515,11.2706,6.6495
3lqFXTxm9s3cltziV-MU0Ru7SIFr1crgfkpYlty3_8o,testB,28.1253,30.5938,8.7769,26.7353,26.7214,0.0521,51.2707,54.5168,6.3313,35.9669,37.7211,4.8772,5.0094
40jyjsY-6305fXhV2zgB2kzDoJ-oAOiEJFzFgPsHaXU,testB,23.9074,27.8494,16.4884,22.3893,24.3243,8.6428,41.6946,49.6263,19.0232,31.1952,34.3372,10.0721,13.5566
2aJQIOdBbvgYWOXDRTI8J1oInWp27begNBGx8LNRYGo,testB,29.293,27.7781,5.1716,25.4473,24.2621,4.6577,52.757,49.4993,6.175,35.9508,34.2493,4.7328,5.1843
4PHz7YSvqsSLBdU2XPf7lh9ORQC-0B-dukLIG4PxS48,testB,26.2431,25.7669,1.8147,23.5334,22.5054,4.3681,51.3009,45.9154,10.4979,37.1379,31.7696,14.4551,7.784
3GqMbwCScUT-9HV_AYNEg15NJXnV1ucqd2iqzVIEU6g,testB,34.8312,32.018,8.0767,29.1007,27.9653,3.9016,57.0387,57.0547,0.028,35.7428,39.477,10.4474,5.6134
4QBR34Xt4joslUTlYKpR0cRqjd3xWW4r3-BQBDxTTzo,testB,31.7126,30.2194,4.7087,25.1781,26.3943,4.8305,56.7452,53.8496,5.1028,39.4466,37.2594,5.5447,5.0467
3hpDSNj5_25ceylKU4jJLSldgKCE4QJRGi2mmPqAcOA,testB,45.5831,44.3564,2.6911,34.4178,38.742,12.5638,74.9279,79.0411,5.4895,45.4913,54.6898,20.2203,10.2412
489HgtmBtqFJ9c4i5YSmS5RcbGxfg0kUD5him8uUE1E,testB,38.5138,34.7137,9.867,31.6713,30.3198,4.2675,65.9614,61.8582,6.2206,41.8359,42.8007,2.306,5.6653
59bc275b681516389ccf413e,testB,35.7215,40.0029,11.9855,28.8451,34.9395,21.1281,72.5221,71.2834,1.7081,42.3085,49.3221,16.5772,12.8497
4qlqgGEPnbkySuq_MAHB1dC_t_ltqTgeKo0e4FPSxH4,testB,22.1635,22.7957,2.8523,20.7993,19.9103,4.274,44.7496,40.6209,9.2261,34.2591,28.1063,17.9597,8.578
59bc275b681516389ccf4138,testB,33.9173,32.6013,3.88,27.5158,28.4748,3.485,61.7044,58.094,5.8511,40.7584,40.1962,1.3795,3.6489
4ILmdGi7cOtZv6qiQ6TnehCUU3OOI6M3K4S-c7Ir-LA,testB,26.2804,26.489,0.7941,23.1396,23.1362,0.0146,52.2184,47.2023,9.606,34.097,32.66,4.2144,3.6573
4rwj1-rYNLdbP_nsUg4bqZ4JhcemGrnFl9KSsWRDRVE,testB,31.2462,26.8567,14.0482,27.3344,23.4573,14.1839,54.0155,47.8574,11.4007,35.2694,33.1133,6.1132,11.4365
59bc2768681516389ccf4632,testB,30.9675,33.5299,8.2744,27.8783,29.2859,5.0491,51.5156,59.7488,15.982,38.2082,41.3411,8.1995,9.3763
59bc275b681516389ccf4162,testB,46.2509,46.6626,0.8901,31.2225,40.7563,30.5352,67.6244,83.1507,22.9597,41.6465,57.5333,38.1469,23.133
59bc2765681516389ccf4548,testB,26.8621,27.2496,1.4426,25.1629,23.8005,5.4142,53.7589,48.5576,9.6754,37.4729,33.5978,10.3411,6.7183
59bc2768681516389ccf4649,testB,36.4609,37.6278,3.2003,32.0355,32.865,2.5893,65.8714,67.051,1.7909,44.8362,46.3937,3.4737,2.7635
59bc276f681516389ccf48b0,testB,24.9134,26.3858,5.9101,22.7509,23.046,1.297,47.753,47.0183,1.5385,36.567,32.5327,11.0325,4.9445
59bc2765681516389ccf4506,testB,30.4733,31.0751,1.9749,24.7556,27.1418,9.6389,54.0938,55.3745,2.3676,37.7325,38.3145,1.5424,3.8809
5NEY_5lj3LQcxtHNYCjcqS5vMJ8okWrt2PkRbl8SWfs,testB,23.1318,22.6404,2.1247,21.8207,19.7747,9.3767,43.9106,40.3441,8.1222,31.9162,27.9147,12.5373,8.0402
5TJEjrEATRi6qua4FW3KsC9a34Nf2JWV572lOKqWItU,testB,24.5472,25.6405,4.4541,22.4107,22.3951,0.0697,49.2589,45.6903,7.2446,34.2836,31.6138,7.7873,4.8889
5pSIIWpKbkRc51xX68ZYZFe1n1nViHZm_2Cep8keaow,testB,24.3482,24.1137,0.9632,20.6286,21.0615,2.0984,45.3957,42.9695,5.3446,32.5186,29.7313,8.5714,4.2444
59bc276e681516389ccf486b,testB,26.371,26.4022,0.1183,22.8003,23.0603,1.1405,50.5261,47.0476,6.8846,35.3976,32.553,8.0362,4.0449
5xqxW4siwJ2JZjsvbGnX4hArqM9rUT1yaya6ceEmzBQ,testB,26.0296,24.2011,7.0247,23.4024,21.1378,9.6768,49.643,43.1252,13.1294,35.9489,29.839,16.996,11.7067
60qM1XQwZ1nYEa4xkAKSEeQPXDMZhARQQ7-eoib8NLg,testB,32.9955,38.4935,16.6629,30.1165,33.6212,11.6369,58.7286,68.5937,16.7978,42.1914,47.4611,12.49,14.3969
6NGuzk2gwsmfRtM6l2BslVzfLrLy6eGSfWYT9cJ5ZH8,testB,34.7342,33.6923,2.9996,26.9616,29.4277,9.1468,60.2879,60.0382,0.4143,40.4474,41.5414,2.7047,3.8163
6eQbm6gjjbOQhKo9bEr_qPN9pD6esc5UyYg5M9nx2j8,testB,41.055,33.112,19.3472,32.0185,28.9208,9.6745,60.2481,59.0041,2.0649,38.4087,40.8259,6.2932,9.3449
5TM9fQDmC20gmmXZuGLU0ucsepZRpx_SI-cW_afGpuk,testB,38.0291,38.9549,2.4343,29.2292,34.0241,16.4045,67.277,69.4158,3.1791,45.7901,48.0299,4.8915,6.7274
6VGAL0i8H2arwCCu7CK2I_kAVbQY7zFp2qeIRIekL7Q,testB,30.5493,29.5048,3.4189,25.0729,25.7703,2.7815,55.7869,52.5763,5.755,37.1265,36.3784,2.015,3.4926
