Dot 0: (x=275, y=31)
Dot 1: (x=272, y=60)
Dot 2: (x=273, y=73)
Dot 3: (x=246, y=76)
Dot 4: (x=300, y=77)
Dot 5: (x=274, y=109)
Dot 6: (x=225, y=115)
Dot 7: (x=314, y=117)
Dot 8: (x=213, y=147)
Dot 9: (x=326, y=153)
Dot 10: (x=265, y=157)
Dot 11: (x=275, y=158)
Dot 12: (x=286, y=158)
Dot 13: (x=210, y=160)
Dot 14: (x=330, y=167)
Dot 15: (x=207, y=171)
Dot 16: (x=328, y=177)
Dot 17: (x=291, y=211)
Dot 18: (x=260, y=214)
Dot 19: (x=293, y=267)
Dot 20: (x=257, y=270)
Dot 21: (x=295, y=283)
Dot 22: (x=257, y=285)
