Dot 0: (x=326, y=66)
Dot 1: (x=320, y=132)
Dot 2: (x=321, y=162)
Dot 3: (x=253, y=174)
Dot 4: (x=391, y=176)
Dot 5: (x=324, y=256)
Dot 6: (x=198, y=270)
Dot 7: (x=428, y=276)
Dot 8: (x=163, y=351)
Dot 9: (x=460, y=366)
Dot 10: (x=300, y=379)
Dot 11: (x=356, y=380)
Dot 12: (x=328, y=381)
Dot 13: (x=153, y=383)
Dot 14: (x=468, y=405)
Dot 15: (x=149, y=412)
Dot 16: (x=465, y=429)
Dot 17: (x=369, y=518)
Dot 18: (x=288, y=525)
Dot 19: (x=377, y=671)
Dot 20: (x=278, y=676)
Dot 21: (x=380, y=706)
Dot 22: (x=279, y=710)
